x,y,z,vx,vy,vz,gmag,bprp
-8.224,-0.041,-0.002,-21.588,258.794,22.048,7.827,0.710
-8.279,-0.058,-0.038,-28.830,194.692,26.236,8.645,2.080
-8.279,0.064,0.093,-32.055,219.643,-9.008,6.212,1.132
-8.313,-0.082,0.070,-7.822,176.885,9.676,8.298,2.180
-8.220,0.005,-0.014,21.434,220.581,57.544,7.761,1.735
-8.332,-0.059,0.092,-35.943,249.080,27.356,4.667,0.967
-8.209,-0.016,0.027,0.852,227.471,-13.500,7.018,1.467
-8.368,0.062,0.034,-22.663,210.117,-19.738,7.821,1.821
-8.223,-0.039,-0.003,17.661,252.302,-5.401,7.033,1.657
-8.341,0.080,0.049,-7.711,205.259,-0.335,5.705,0.973
-8.313,0.047,-0.048,11.056,203.310,15.347,7.722,1.807
-8.325,0.046,-0.046,48.521,232.348,-20.368,6.344,1.237
-8.316,0.063,0.095,18.923,223.455,-38.186,4.372,0.877
-8.374,-0.047,0.001,24.476,250.884,32.368,3.656,0.758
-8.217,0.031,0.053,2.000,216.268,15.071,8.628,2.273
-8.322,0.089,0.022,-13.988,195.231,-13.682,7.203,1.598
-8.381,-0.017,0.070,26.495,215.794,10.899,3.350,0.853
-8.244,0.044,-0.028,58.810,248.425,12.298,6.375,1.481
-8.297,-0.076,0.081,6.208,223.403,-4.945,8.401,2.011
-8.262,-0.078,0.060,-8.788,228.603,-6.811,7.506,1.867
-8.233,0.036,0.081,25.399,238.432,4.011,8.012,1.801
-8.237,-0.019,-0.035,29.330,232.916,-2.206,5.194,1.081
-8.229,-0.030,0.080,-8.394,218.517,4.564,5.928,1.085
-8.321,-0.050,0.104,-74.446,229.004,10.272,5.452,0.906
-8.377,0.018,0.077,-0.641,202.931,-31.099,6.165,1.192
-8.328,-0.037,0.110,12.250,236.786,-5.687,8.487,1.775
-8.210,-0.016,0.039,41.332,187.269,-3.118,6.763,1.380
-8.350,-0.072,0.057,72.639,199.265,37.100,7.264,1.599
-8.283,-0.087,0.007,3.442,236.477,5.896,4.542,0.771
-8.245,-0.046,0.087,-17.256,144.226,40.248,6.919,1.421
-8.287,-0.079,-0.016,-22.352,223.061,-3.510,8.282,2.013
-8.379,0.047,0.021,22.331,247.545,-2.801,7.015,1.453
-8.370,-0.055,0.008,3.798,222.265,11.158,6.147,1.178
-8.276,-0.054,-0.040,-3.702,253.818,16.604,7.395,1.562
-8.347,0.050,-0.031,-26.714,219.854,36.065,3.167,0.825
-8.216,-0.035,0.047,-16.266,241.402,-2.645,5.599,1.002
-8.288,-0.045,0.109,6.703,220.774,-13.098,6.088,1.061
-8.334,-0.085,0.034,21.546,252.793,-5.849,5.013,0.880
-8.343,-0.065,0.080,-68.193,237.623,46.831,7.978,1.975
-8.387,0.016,0.005,15.080,226.969,-24.280,-0.279,1.328
-8.270,0.072,0.079,31.011,263.532,22.081,6.481,1.213
-8.345,0.070,-0.010,18.771,218.955,-6.089,6.306,1.246
-8.218,-0.013,0.069,42.389,187.622,24.873,6.415,1.281
-8.217,-0.034,0.009,51.301,239.049,-16.893,5.981,1.047
-8.211,0.015,0.048,-68.008,198.729,-7.047,4.701,0.885
-8.372,-0.015,0.085,70.034,182.846,27.221,8.474,2.128
-8.383,0.006,0.068,-85.764,199.571,19.574,8.153,2.025
-8.325,-0.080,-0.007,22.077,251.890,4.148,6.896,1.411
-8.265,0.081,0.004,24.481,248.756,5.384,7.976,1.763
-8.307,-0.068,-0.032,-5.124,225.291,0.688,4.549,0.775
-8.236,-0.029,0.089,11.000,214.297,4.619,4.576,0.835
-8.288,0.060,0.099,26.400,217.733,-9.682,8.577,2.138
-8.274,0.087,0.014,4.832,197.059,-1.788,8.801,2.269
-8.279,-0.059,-0.038,51.740,178.835,-11.416,5.286,0.881
-8.365,0.065,0.034,-7.604,241.735,-2.355,3.741,0.620
-8.346,0.079,0.020,-2.639,202.442,-7.197,6.778,1.393
-8.299,-0.035,-0.055,15.423,232.210,23.223,6.403,1.266
-8.356,0.006,-0.043,-2.393,216.455,-24.318,6.697,1.374
-8.310,-0.057,0.102,-9.228,234.408,11.670,6.739,1.410
-8.373,0.050,0.005,16.780,228.622,-12.433,7.353,1.587
-8.269,0.052,0.099,36.737,252.742,7.228,5.373,0.948
-8.390,-0.015,0.039,-2.544,214.850,-16.102,8.358,2.238
-8.350,0.015,-0.046,-67.510,175.155,5.996,5.957,1.305
-8.351,0.049,-0.029,75.127,189.922,29.351,6.516,1.219
-8.275,-0.072,-0.021,-40.194,210.404,30.387,6.952,1.423
-8.386,-0.028,0.016,-18.601,237.477,-18.706,7.472,1.647
-8.353,-0.071,0.053,0.527,230.677,16.183,1.853,0.553
-8.317,-0.079,0.073,27.122,219.106,-12.962,7.579,1.754
-8.378,0.001,-0.019,-18.993,262.921,-29.180,8.020,1.720
-8.268,-0.043,0.105,-43.299,160.915,2.480,6.425,1.319
-8.341,0.056,-0.030,38.454,228.687,-35.075,5.915,1.060
-8.352,0.075,0.019,-22.784,230.945,-4.667,8.745,2.198
-8.272,-0.082,-0.001,-88.412,200.801,-31.895,8.411,2.108
-8.295,-0.086,0.063,32.834,212.470,31.214,7.796,1.805
-8.355,0.037,-0.033,41.102,223.534,31.289,5.076,0.850
-8.247,-0.013,0.104,-7.793,233.887,-11.103,3.355,0.618
-8.218,0.041,0.030,-7.027,222.326,-30.557,3.845,0.892
-8.266,0.082,0.005,23.265,211.599,-6.364,5.540,1.039
-8.273,-0.082,-0.001,0.369,222.783,3.340,6.453,1.398
-8.322,0.077,0.075,7.490,197.758,-12.476,4.632,0.770
-8.363,0.034,-0.028,37.881,203.470,0.171,8.611,2.104
-8.226,0.043,-0.004,-76.416,249.446,-10.101,7.847,1.733
-8.215,0.023,0.002,41.491,216.920,-4.889,3.587,0.791
-8.303,-0.091,0.043,19.234,228.427,-1.697,5.468,0.968
-8.291,-0.091,0.027,-9.972,236.325,-17.983,7.394,1.645
-8.229,0.019,0.085,-27.523,230.214,-19.921,6.837,0.771
-8.307,-0.041,-0.052,5.411,236.781,-11.621,7.549,1.651
-8.266,0.081,0.004,7.348,197.275,4.472,5.695,1.031
-8.384,-0.035,0.037,-54.341,184.372,21.921,5.415,1.022
-8.219,-0.042,0.039,10.490,217.198,-10.395,5.183,0.900
-8.250,0.064,0.073,15.154,221.753,2.275,6.252,1.182
-8.370,0.059,0.042,19.136,227.653,-8.333,2.430,0.670
-8.331,-0.010,-0.056,-12.003,229.697,-6.015,3.074,0.540
-8.222,0.033,0.066,45.747,256.767,1.265,3.835,0.698
-8.346,-0.079,0.034,18.367,240.600,6.877,7.158,1.400
-8.349,0.001,-0.047,-58.320,205.083,5.955,7.685,1.690
-8.352,-0.002,-0.046,43.918,230.061,12.642,6.351,1.319
-8.298,-0.014,-0.061,-11.584,116.483,102.347,8.510,1.805
-8.280,0.067,0.089,9.910,217.436,15.552,3.437,0.727
-8.390,0.014,0.016,-18.696,238.912,-9.434,7.332,1.635
-8.220,-0.039,0.052,15.292,270.208,1.074,5.231,0.902
-8.385,-0.022,0.005,-2.319,217.925,-0.009,4.634,0.937
-8.322,-0.064,-0.032,1.311,207.427,-18.512,8.347,1.925
-8.291,0.087,0.059,1.170,218.108,-6.714,5.623,1.015
-8.343,0.059,0.086,16.338,182.510,40.147,6.886,1.450
-8.252,-0.048,-0.032,72.159,227.270,15.490,8.142,1.841
-8.316,0.084,-0.004,44.831,223.169,58.049,8.905,2.121
-8.244,-0.073,0.034,-20.787,226.954,7.461,6.522,1.314
-8.227,-0.035,-0.014,26.445,236.627,-37.807,7.733,1.871
-8.331,0.086,0.022,-47.468,250.803,-8.525,7.650,1.631
-8.217,-0.000,-0.010,-41.351,210.010,48.733,7.197,1.022
-8.370,0.054,0.056,4.873,243.672,-0.656,1.744,0.571
-8.293,-0.016,0.120,-13.692,179.080,1.684,6.147,1.211
-8.211,0.016,0.044,10.063,195.143,-18.270,5.102,0.961
-8.341,-0.033,0.105,-4.549,218.661,-2.239,5.553,1.012
-8.391,-0.008,0.041,-29.728,247.106,-17.365,7.292,1.493
-8.304,-0.044,0.111,-22.209,247.406,-43.127,3.769,0.791
-8.239,0.001,0.099,-0.322,239.522,5.141,7.863,1.795
-8.295,-0.060,0.099,-14.863,233.778,1.447,3.210,0.569
-8.369,0.051,-0.003,-10.857,238.950,21.215,4.571,0.857
-8.385,0.024,0.054,18.174,224.524,-19.050,5.354,0.898
-8.298,-0.088,0.056,64.439,219.790,-10.553,6.236,1.150
-8.329,-0.078,0.069,-21.503,275.244,44.682,6.841,1.347
-8.245,0.062,0.070,1.025,219.038,-3.631,7.938,1.112
-8.279,-0.086,0.006,-11.329,239.766,19.482,5.946,1.117
-8.367,0.008,0.092,-2.621,178.373,-70.066,7.124,1.404
-8.362,0.022,-0.034,-8.776,241.452,-13.785,7.741,1.022
-8.356,-0.065,0.062,-51.433,200.919,14.482,3.114,0.616
-8.282,0.086,0.057,-13.769,180.436,-7.403,8.363,2.081
-8.314,0.082,-0.009,-125.602,170.257,3.019,7.420,1.507
-8.278,-0.065,0.092,15.234,244.614,-8.831,4.689,0.800
-8.305,0.084,0.067,8.624,208.290,-5.668,6.797,1.258
-8.239,-0.055,-0.011,47.924,235.739,0.442,4.754,0.832
-8.361,0.014,0.097,-7.775,219.336,12.360,7.789,1.868
-8.390,0.018,0.022,-0.957,220.250,1.228,6.326,1.297
-8.338,0.082,0.015,4.066,239.574,-14.616,7.224,1.510
-8.282,-0.089,0.016,-18.449,231.265,3.288,4.294,0.776
-8.273,-0.087,0.019,-12.055,238.268,-13.542,8.361,1.992
-8.363,0.049,0.076,5.339,237.776,2.445,5.223,0.900
-8.220,0.001,-0.016,-15.615,208.993,-14.395,7.279,1.577
-8.358,-0.061,0.067,-18.504,228.774,-20.065,8.321,2.104
-8.274,0.071,-0.023,-47.571,211.170,-0.728,8.841,2.188
-8.214,-0.029,0.045,-6.314,226.852,-8.484,8.181,1.899
-8.275,-0.082,0.063,-60.025,194.130,-8.199,6.015,1.188
-8.325,-0.062,-0.033,14.736,285.966,-5.265,6.918,1.471
-8.352,-0.036,-0.037,14.066,250.473,-5.991,6.581,1.285
-8.360,-0.068,0.042,4.020,253.026,13.500,5.009,0.912
-8.284,0.004,-0.060,19.646,182.482,10.212,7.362,1.652
-8.310,0.061,-0.038,-7.966,68.049,-85.325,7.087,1.346
-8.216,0.017,-0.004,-3.651,215.549,3.860,5.031,0.854
-8.342,-0.003,-0.051,-45.136,226.101,31.016,4.428,0.838
-8.261,0.002,0.113,17.628,214.003,-27.909,8.338,1.883
-8.316,-0.059,-0.038,-13.370,225.878,23.019,8.415,2.024
-8.334,0.052,-0.037,-39.489,204.127,-18.196,6.279,1.220
-8.319,-0.087,0.007,-7.487,232.280,-14.112,4.292,0.732
-8.322,-0.089,0.034,35.302,207.514,-21.660,8.340,2.112
-8.214,-0.019,0.055,-11.758,223.102,13.227,8.248,2.090
-8.262,0.046,-0.040,-15.549,183.644,-15.270,6.242,1.183
-8.326,-0.087,0.018,35.128,229.701,16.661,7.664,1.689
-8.237,-0.067,0.034,10.838,252.812,25.153,2.563,0.688
-8.315,-0.088,0.009,-36.847,182.953,-11.878,4.960,0.911
-8.338,-0.022,0.110,16.313,231.707,16.917,8.069,1.848
-8.370,0.037,-0.017,-54.084,244.458,-27.802,6.954,1.456
-8.235,0.009,-0.035,42.555,238.903,19.883,8.385,2.022
-8.260,0.052,0.094,126.340,222.810,7.026,6.139,1.129
-8.259,-0.017,0.110,43.898,210.104,1.487,5.882,1.154
-8.228,-0.056,0.020,59.006,205.338,29.636,4.007,0.678
-8.232,0.062,0.028,-8.888,223.208,9.138,5.363,0.986
-8.304,0.021,-0.059,-6.578,188.263,-58.289,6.679,1.306
-8.258,0.052,0.093,-14.153,240.504,1.832,7.110,1.763
-8.272,0.087,0.020,45.806,247.092,-25.605,8.346,1.920
-8.317,0.001,0.120,-45.531,220.147,-73.558,6.312,1.116
-8.356,0.048,-0.025,0.461,231.635,16.480,3.719,0.742
-8.317,0.053,-0.043,-1.125,242.522,-5.006,2.822,0.429
-8.231,-0.058,0.047,-4.470,235.497,15.100,6.277,1.177
-8.346,-0.078,0.047,-42.238,187.024,-15.589,0.574,1.207
-8.323,-0.016,0.117,-9.146,215.777,7.828,7.720,1.730
-8.325,-0.005,0.118,10.444,231.706,-11.784,2.180,0.566
-8.378,0.037,0.060,-9.988,262.558,4.474,7.666,1.714
-8.241,-0.066,0.005,-55.413,224.000,-1.659,7.978,1.859
-8.288,0.038,0.113,-11.834,202.793,-1.246,5.045,0.906
-8.211,0.023,0.031,63.574,218.278,10.851,7.597,1.750
-8.236,0.065,0.040,-9.482,224.455,-2.633,4.245,0.780
-8.232,0.061,0.022,5.584,248.695,4.887,7.619,1.682
-8.215,0.012,0.063,60.800,255.299,13.017,5.263,1.008
-8.319,-0.089,0.041,-18.761,227.651,-11.199,6.419,1.593
-8.248,0.044,0.092,10.035,227.423,7.459,5.717,1.108
-8.320,-0.059,-0.038,25.689,230.784,1.702,7.270,1.971
-8.265,0.076,0.068,21.413,253.004,19.444,6.507,1.356
-8.390,-0.018,0.038,22.484,199.631,3.570,8.276,1.796
-8.342,-0.081,0.043,54.323,253.791,5.092,3.432,0.671
-8.305,-0.018,-0.060,40.764,251.765,18.684,7.634,1.679
-8.284,0.045,0.109,43.021,198.454,-14.453,7.147,1.478
-8.253,0.077,0.045,24.295,245.606,-8.083,6.877,1.394
-8.261,-0.076,-0.002,7.056,214.109,-6.533,7.232,1.765
-8.282,-0.070,-0.027,60.976,243.747,3.455,4.424,0.858
-8.372,-0.006,0.086,9.025,245.411,0.532,8.292,1.851
-8.302,-0.086,0.061,8.680,211.930,2.883,5.644,1.083
-8.296,-0.088,0.055,38.566,220.409,18.381,4.527,0.834
-8.295,0.087,0.059,-9.562,224.493,-10.898,3.473,0.827
-8.266,-0.064,-0.026,-16.548,237.492,-13.734,3.153,0.521
-8.342,0.012,0.111,-12.916,221.217,-2.412,7.597,1.705
-8.275,0.023,-0.055,29.918,208.634,-8.435,7.254,1.600
-8.216,0.036,0.039,23.870,253.290,3.731,6.381,1.240
-8.263,-0.061,0.088,10.199,239.133,12.767,7.366,1.836
-8.325,-0.031,0.113,-6.185,215.207,5.597,7.320,1.639
-8.240,-0.060,-0.006,-29.744,249.253,-12.830,7.584,1.639
-8.221,-0.046,0.021,-106.802,212.298,-12.659,7.773,1.625
-8.317,0.018,-0.058,-46.533,182.312,22.724,7.037,1.516
-8.324,-0.023,-0.056,0.941,240.139,-15.043,8.000,1.768
-8.347,0.078,0.040,105.804,225.934,17.376,6.287,1.179
-8.353,0.072,0.048,1.331,252.724,4.653,7.769,1.710
-8.232,-0.053,-0.002,6.748,204.391,-11.274,5.683,1.062
-8.331,-0.075,-0.013,-20.313,194.547,-24.643,6.945,1.518
-8.361,0.061,0.061,62.567,230.104,-7.964,2.719,0.655
-8.296,0.080,-0.015,-86.283,203.157,20.062,6.616,1.402
-8.323,-0.089,0.028,13.756,224.308,-7.776,5.763,1.089
-8.330,0.077,0.070,61.794,188.679,-21.889,5.366,0.964
-8.271,-0.084,0.052,-2.564,221.884,2.027,7.208,1.577
-8.368,-0.026,-0.026,24.844,226.035,-20.144,7.408,1.654
-8.211,0.023,0.040,-25.296,256.337,5.418,7.021,1.724
-8.371,-0.053,0.007,52.276,201.785,1.160,4.092,0.883
-8.210,0.016,0.032,-5.379,221.616,-3.213,7.897,1.844
-8.210,-0.017,0.026,42.178,256.317,-7.739,8.466,2.039
-8.324,0.051,-0.042,-14.212,195.651,32.498,7.740,1.731
-8.282,0.059,-0.038,12.436,221.233,-10.604,4.903,0.840
-8.333,-0.050,0.099,25.448,238.512,-3.463,7.954,2.102
-8.345,0.051,0.091,32.847,225.123,33.226,4.737,0.842
-8.313,0.088,0.007,21.261,193.989,11.314,7.886,1.836
-8.239,0.069,0.034,-26.503,228.423,-4.638,3.293,0.853
-8.248,-0.057,-0.020,-87.949,210.950,-39.594,2.603,1.040
-8.221,-0.046,0.021,93.724,228.093,-34.572,3.861,0.756
-8.238,0.067,0.034,24.232,208.810,-25.304,7.465,1.753
-8.384,-0.031,0.051,10.927,252.819,2.579,5.003,0.883
-8.272,-0.083,0.001,16.508,242.044,2.071,4.623,0.784
-8.255,0.057,0.086,-2.119,255.079,-6.640,5.696,1.031
-8.278,0.077,-0.014,-19.182,239.382,-26.787,5.218,0.919
-8.324,0.088,0.039,-1.850,214.748,21.579,-0.116,1.615
-8.238,0.065,0.051,35.101,215.050,-15.324,5.813,1.252
-8.362,-0.061,0.002,-52.687,203.769,-1.798,7.123,1.537
-8.251,-0.040,-0.037,-10.799,235.093,-17.838,5.686,1.145
-8.222,-0.006,-0.019,4.002,215.170,8.236,3.554,0.605
-8.293,0.011,0.121,25.863,194.438,19.876,4.562,0.802
-8.290,-0.086,0.061,5.874,249.500,4.807,8.092,2.142
-8.257,-0.051,-0.033,-19.228,188.201,23.017,4.598,0.892
-8.334,-0.044,0.103,66.304,196.375,-2.087,8.436,1.864
-8.337,-0.084,0.021,56.226,221.063,-4.029,7.574,1.701
-8.335,0.084,0.015,-7.808,159.587,50.532,8.199,1.673
-8.271,-0.006,0.117,22.188,218.825,-17.672,7.936,1.783
-8.267,-0.033,0.109,-18.362,227.996,9.166,5.568,1.041
-8.381,-0.011,-0.012,-31.564,200.258,3.552,8.338,1.907
-8.215,-0.020,0.003,4.652,224.001,7.853,4.400,0.780
-8.277,0.073,0.081,35.171,185.184,7.282,5.654,1.070
-8.363,0.020,-0.033,-52.709,279.858,9.134,6.285,1.105
-8.330,-0.073,0.076,16.488,254.588,-14.474,8.530,2.087
-8.318,-0.054,0.102,24.840,218.824,18.576,6.892,1.451
-8.306,0.091,0.018,11.235,241.211,-18.559,7.868,1.757
-8.222,0.018,-0.014,30.527,256.421,-1.490,8.579,2.007
-8.307,-0.077,-0.019,2.724,237.992,-10.754,6.736,1.339
-8.260,-0.065,0.081,26.663,225.143,11.851,8.176,1.802
-8.361,0.015,0.097,-10.862,225.514,-3.505,5.127,0.889
-8.270,-0.020,-0.055,-10.499,221.758,-29.150,5.257,1.000
-8.341,-0.038,0.103,-24.328,216.336,15.960,6.355,1.217
-8.315,0.061,-0.037,-19.363,212.474,9.159,8.259,2.189
-8.269,-0.053,-0.038,-20.679,197.092,2.615,8.051,1.831
-8.348,-0.075,0.051,21.450,211.781,20.549,5.677,1.048
-8.295,-0.090,0.015,1.613,220.113,-7.239,7.810,1.760
-8.273,-0.088,0.030,14.286,251.728,20.665,5.531,0.933
-8.334,-0.078,0.065,45.353,218.503,-8.081,8.319,1.914
-8.257,0.049,0.094,-24.058,237.214,1.162,4.472,0.767
-8.344,0.063,0.080,-34.279,230.132,2.586,4.393,0.763
-8.208,0.004,0.034,49.430,205.454,-18.476,7.115,1.569
-8.358,-0.027,0.096,42.546,239.133,5.374,4.736,0.813
-8.266,0.066,-0.024,11.405,230.534,-12.579,5.111,0.896
-8.339,0.014,-0.052,-4.283,252.258,-7.806,8.050,1.879
-8.258,0.005,-0.052,-3.180,250.895,8.980,6.523,1.576
-8.293,-0.087,0.003,24.977,247.508,-3.761,8.724,2.097
-8.260,-0.060,0.087,12.161,229.943,8.598,5.130,0.896
-8.235,0.062,0.009,35.827,216.385,-8.850,7.840,1.857
-8.363,0.044,0.079,-8.978,230.022,15.291,3.869,0.651
-8.217,0.033,0.007,-14.254,226.986,8.642,6.255,1.341
-8.365,-0.017,-0.033,-6.985,253.493,10.357,7.044,1.404
-8.209,0.005,0.018,-6.874,227.385,19.313,5.405,1.017
-8.212,0.025,0.039,17.792,240.887,-13.499,5.900,1.104
-8.295,0.083,-0.009,20.692,258.950,-39.825,5.723,1.007
-8.220,-0.044,0.020,-10.158,239.511,-9.574,6.032,1.107
-8.229,0.008,0.088,23.385,180.910,-8.318,8.239,1.934
-8.265,-0.014,-0.053,11.436,198.822,-8.957,2.955,0.580
-8.352,0.034,-0.038,57.214,188.588,-6.314,3.688,0.754
-8.211,0.018,0.019,24.830,194.893,-13.545,5.622,1.214
-8.260,-0.026,0.108,-8.580,220.554,6.840,4.565,0.780
-8.285,-0.019,-0.059,9.592,247.652,-2.308,8.551,1.989
-8.214,0.031,0.044,8.382,137.683,43.673,6.805,1.410
-8.312,0.007,-0.061,7.800,217.603,39.932,7.587,1.563
-8.263,-0.017,0.112,11.279,188.087,30.285,4.741,0.914
-8.352,0.051,0.086,24.390,219.104,-14.981,6.496,0.783
-8.351,0.021,-0.043,-17.224,195.550,1.007,5.290,0.941
-8.255,-0.077,0.052,-15.544,236.303,-7.464,4.508,0.741
-8.385,-0.014,-0.002,-73.715,244.931,8.175,4.727,0.908
-8.344,-0.076,0.056,-20.428,219.642,15.903,7.610,1.779
-8.335,0.084,0.042,-100.475,161.737,22.951,8.864,2.177
-8.304,0.092,0.030,-36.923,230.434,10.315,5.735,0.985
-8.214,0.033,0.024,38.836,243.970,-8.128,8.752,2.082
-8.299,-0.029,0.117,-3.856,251.531,-16.529,6.431,1.327
-8.299,0.044,-0.050,-26.412,221.576,11.485,0.401,1.088
-8.252,-0.008,0.108,61.832,215.936,4.271,8.157,1.809
-8.379,-0.017,-0.013,3.888,244.553,-14.886,8.635,2.057
-8.368,0.062,0.037,-19.660,218.345,1.718,7.122,1.542
-8.372,-0.053,0.011,-15.962,248.503,-31.585,2.613,0.688
-8.346,0.016,0.108,14.826,234.293,-31.316,4.680,0.735
-8.236,0.066,0.026,23.553,212.908,67.086,5.749,1.078
-8.323,-0.073,0.081,-20.668,230.373,-0.344,3.585,0.649
-8.321,0.089,0.036,-97.150,216.253,14.387,8.544,2.018
-8.378,0.034,0.064,81.144,182.302,20.967,7.336,1.624
-8.301,-0.040,0.113,-29.164,232.309,-2.045,4.805,0.814
-8.375,-0.050,0.048,5.222,182.729,10.772,5.663,1.084
-8.242,-0.062,0.065,-36.823,213.884,13.944,4.849,0.806
-8.217,-0.032,0.006,-6.965,187.664,27.797,7.224,1.510
-8.287,0.087,0.056,62.387,248.766,-30.662,8.202,1.858
-8.374,-0.052,0.046,28.164,234.398,4.073,6.559,1.288
-8.235,-0.063,0.043,-61.641,231.111,30.256,6.448,1.270
-8.243,0.024,-0.037,-22.732,229.165,-42.153,6.727,1.423
-8.311,0.009,0.121,-64.661,241.777,2.187,4.715,0.845
-8.319,0.090,0.028,85.535,242.970,-40.222,5.536,0.999
-8.375,0.052,0.018,41.169,251.298,-2.398,7.539,1.915
-8.314,0.089,0.015,-4.005,229.248,-2.566,6.667,1.327
-8.389,-0.015,0.016,60.461,215.892,1.364,8.457,2.092
-8.359,0.023,-0.036,66.453,244.574,7.895,8.048,1.884
-8.235,0.042,0.079,-7.607,249.144,-0.561,7.733,1.968
-8.256,0.077,0.008,12.983,234.649,23.221,6.970,1.433
-8.213,-0.027,0.040,37.742,235.207,15.883,6.946,1.381
-8.387,-0.018,0.010,-40.544,202.059,-8.520,5.384,1.036
-8.300,-0.089,0.052,-16.448,228.918,-3.318,5.968,1.160
-8.299,0.004,0.122,8.196,239.484,6.534,5.228,0.919
-8.244,-0.072,0.041,23.338,255.147,-6.711,2.391,0.521
-8.251,0.077,0.023,19.608,254.118,7.736,8.063,0.954
-8.369,0.060,0.037,-21.422,209.485,-8.755,3.526,0.635
-8.267,-0.032,0.109,-33.336,229.750,3.562,5.480,0.953
-8.252,0.076,0.012,-30.850,224.147,-4.035,3.039,0.567
-8.273,-0.064,-0.029,-25.778,253.246,-19.304,7.966,1.746
-8.312,-0.043,-0.050,42.693,215.347,-12.653,4.044,0.798
-8.213,-0.002,0.000,-18.409,234.195,7.038,8.768,2.149
-8.278,-0.005,-0.059,55.945,230.969,-13.929,7.048,1.514
-8.212,0.009,0.053,-81.929,163.703,0.376,6.979,1.740
-8.366,-0.023,0.089,0.154,242.565,-9.420,5.840,1.053
-8.273,0.048,-0.043,25.030,238.177,-3.118,2.165,0.883
-8.385,0.021,0.004,40.594,180.753,-36.195,7.083,1.527
-8.222,0.027,-0.010,8.740,214.580,-9.009,7.529,1.678
-8.338,-0.078,0.060,22.284,246.346,-1.756,6.308,1.220
-8.284,0.045,0.109,42.404,197.356,-17.363,6.848,1.368
-8.391,0.007,0.042,-17.301,225.755,-4.246,5.126,0.916
-8.300,0.044,0.111,4.055,224.273,1.915,6.685,1.612
-8.309,-0.078,-0.018,22.976,256.814,4.536,3.399,0.601
-8.364,0.045,0.078,46.391,230.609,-20.328,6.621,0.803
-8.270,0.000,-0.057,-45.101,230.916,-9.458,7.592,1.627
-8.327,-0.008,0.117,26.204,218.847,0.420,8.268,2.075
-8.260,-0.004,0.112,-53.054,224.152,-32.572,6.525,1.170
-8.346,0.001,0.109,-33.263,229.972,-1.576,3.170,0.558
-8.269,-0.081,0.059,-284.347,-41.469,-123.973,8.877,1.750
-8.361,0.065,0.007,13.413,217.897,19.492,5.877,1.029
-8.386,-0.032,0.037,5.697,220.184,-2.354,-0.747,1.303
-8.224,0.003,-0.021,-0.127,226.897,-58.527,8.320,1.930
-8.321,-0.032,0.113,53.978,214.895,8.789,8.238,2.049
-8.219,-0.041,0.045,-28.761,195.889,23.465,8.754,2.292
-8.223,-0.025,0.073,25.632,223.504,-25.264,8.612,2.146
-8.306,0.021,-0.059,-39.312,192.662,7.767,7.889,1.690
-8.352,-0.011,-0.044,-18.611,231.028,9.868,8.023,1.745
-8.282,0.082,0.066,-49.532,276.681,15.811,5.427,1.049
-8.240,0.063,0.001,-31.398,207.798,35.920,5.717,1.052
-8.301,0.068,-0.032,-41.199,227.380,8.360,4.739,0.874
-8.328,0.009,-0.057,-22.026,223.678,-18.702,7.656,1.677
-8.235,-0.060,0.055,-27.016,236.337,-0.568,7.258,1.586
-8.331,-0.073,-0.017,21.813,250.424,7.846,2.997,0.562
-8.289,-0.081,-0.012,-0.030,241.351,-10.160,3.959,0.818
-8.370,0.055,0.053,-38.021,235.019,6.035,8.656,2.030
-8.247,-0.066,0.066,6.944,236.820,2.480,7.264,1.877
-8.353,0.012,-0.044,74.493,207.934,28.122,7.533,1.564
-8.313,-0.089,0.012,-83.266,147.779,-16.953,6.156,1.151
-8.381,0.031,-0.000,-23.372,234.469,15.055,4.174,0.715
-8.319,0.008,0.119,6.599,231.478,-29.014,5.983,0.796
-8.238,-0.064,0.051,7.390,233.116,11.910,7.599,1.696
-8.389,-0.004,0.053,19.062,253.423,-8.948,8.479,2.038
-8.279,-0.077,0.076,-50.975,192.384,-9.498,4.435,0.898
-8.347,0.079,0.026,58.457,247.300,4.876,3.037,0.691
-8.272,0.021,-0.055,44.938,256.787,-4.126,7.073,1.586
-8.232,-0.049,0.066,27.539,221.372,-29.506,6.866,1.358
-8.277,-0.053,0.101,5.188,218.666,-0.861,5.889,1.081
-8.364,0.022,-0.032,-15.265,223.597,-10.554,7.522,1.587
-8.233,0.022,-0.029,14.461,219.199,-12.810,4.423,0.738
-8.229,-0.000,0.088,0.647,206.511,7.482,6.655,1.274
-8.302,0.028,-0.057,3.776,248.704,-1.134,8.412,1.882
-8.231,0.059,0.021,26.661,231.360,-8.760,4.238,0.769
-8.293,-0.034,-0.055,-13.099,214.776,-6.720,5.791,1.336
-8.337,-0.065,0.083,107.530,223.067,42.123,8.006,1.726
-8.223,0.046,0.011,-11.759,233.442,8.483,4.304,0.805
-8.272,-0.080,0.065,-27.004,208.583,15.067,6.783,1.417
-8.212,0.003,0.005,-2.618,151.465,-8.407,7.565,1.790
-8.211,0.023,0.035,34.652,260.947,-2.530,6.813,1.233
-8.240,-0.063,0.060,2.286,187.665,13.176,8.625,2.108
-8.284,0.004,-0.060,26.837,211.470,-32.027,6.149,1.176
-8.289,0.027,-0.057,15.157,216.922,4.213,7.283,1.550
